arrival_info,stop_number,stop_name,stop_id,latitude,longitude
23分鐘,1,職能發展學院,1115400400,25.11433,121.53922
24分鐘,2,東山路,1115300600,25.115876,121.5391643
25分鐘,3,天母國中,1115300260,25.11823,121.53683
25分鐘,4,忠誠路口,1115300560,25.118235,121.53544
27分鐘,5,市立臺北特教學校,1115300740,25.117222,121.5342005
28分鐘,6,天母棒球場(忠誠),1115300340,25.114207,121.5321979
31分鐘,7,蘭雅國中,1114800540,25.109534,121.5303329
32分鐘,8,蘭雅新城,1114800640,25.107166,121.5298003
32分鐘,9,雨農國小,1114800360,25.105439,121.5285602
34分鐘,10,忠誠公園,1114800160,25.104334,121.5259206
35分鐘,11,德行(中山忠誠路口),1115500340,25.103354,121.524957
37分鐘,12,福林橋,1114100640,25.097079,121.527411
38分鐘,13,捷運士林站(中山),1116300940,25.093012,121.5277552
39分鐘,14,台電台北北區營業處,1116300740,25.090699,121.5273919
40分鐘,15,銘傳大學,1114100740,25.087885,121.5268976
41分鐘,16,捷運劍潭站(中山),1116301040,25.085353,121.525327
5分鐘,18,民族東路口,1046000240,25.06731,121.52756
6分鐘,19,稻江護校,1047100641,25.06504,121.5276297
8分鐘,20,中山國小(新生),1046000040,25.06333,121.52748
10分鐘,21,民權吉林路口,1046800020,25.062546,121.5300637
12分鐘,22,捷運行天宮站(松江路),1046800240,25.060535,121.5331063
13分鐘,23,長春松江路口,1048500040,25.055006,121.533011
14分鐘,24,捷運松江南京站,1045700440,25.052281,121.5329812
16分鐘,25,長安松江路口,1045500140,25.048648,121.5329145
18分鐘,26,光華商場,1066600240,25.044608,121.5328606
20分鐘,27,進安公園,1048900420,25.046247,121.537785
21分鐘,28,中影八德大樓,1049200220,25.046706,121.5408273
22分鐘,29,中崙,1049200020,25.047208,121.54312
24分鐘,30,臺安醫院,1055600220,25.048142,121.5462971
26分鐘,31,臺視,1055900020,25.04807,121.5511
28分鐘,32,美仁里,1055400120,25.048,121.55415
29分鐘,33,光復路口,1055400020,25.048103,121.5571789
31分鐘,34,臺北市區監理所,1055500020,25.048363,121.5598251
32分鐘,35,八德東寧路口,1056500021,25.048759,121.5637648
34分鐘,36,新聚里,1056600220,25.04904,121.56696
35分鐘,37,饒河街觀光夜市(八德),1056600420,25.049815,121.5714654
37分鐘,38,松山農會,1056600020,25.049902,121.5738483
38分鐘,39,松山車站(八德),1056700020,25.049975,121.5772464
41分鐘,40,玉成里,1157700020,25.050867,121.5809831
44分鐘,41,松山磚廠,1156300220,25.052203,121.5842017
44分鐘,42,南港路三段,1156300320,25.052936,121.5872289
45分鐘,43,西新里(新新公園),1156300020,25.053286,121.5896618
46分鐘,44,玉成國小,1156300120,25.054083,121.5921075
48分鐘,45,土地公廟,1155100020,25.054317,121.5962923
49分鐘,46,東明里/臺北流行音樂中心,1157800320,25.053841,121.5981395
49分鐘,47,南港輪胎,1157800420,25.053324,121.6007562
50分鐘,48,台肥新村,1157800120,25.053655,121.6030217
51分鐘,49,南港行政中心,1157900120,25.054375,121.6070819
52分鐘,50,南港高工(南港路),1156800520,25.054961,121.6106211
54分鐘,51,南港軟體園區南站,1150100200,25.056417,121.6141291
55分鐘,52,南港軟體園區北站,1156000300,25.058703,121.6142155
3分鐘,54,五分社區,1148700020,25.068686,121.6143563
4分鐘,55,東湖國小,1148700120,25.068103,121.61672
6分鐘,56,北山里,2215100520,25.066676,121.618528
8分鐘,57,經貿園區,2210500020,25.066607,121.622098
9分鐘,58,木南煤礦,2215000220,25.066839,121.624809
9分鐘,59,金龍國小(康寧街),2215700420,25.067351,121.627395
10分鐘,60,北峰里(康寧街),2215700121,25.067712,121.629129
12分鐘,61,世電社區,2215800240,25.065928,121.631193
14分鐘,62,社后消防隊,2215100960,25.065043,121.629926
