公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
,1,中生橋頭,2315100260,24.953492,121.564029
,2,大崎腳,2315200400,24.954144,121.5616522
,3,青潭廠,2315202260,24.954371,121.5591371
,4,郵政橋,2315202960,24.953935,121.557333
,5,青潭國小一,2315201960,24.953628,121.554816
,6,青潭新村,2315202140,24.95324,121.551785
,7,土銀訓練中心,2315200040,24.952342,121.55011
,8,青潭(北宜路),2315201500,24.952626,121.5470007
,9,青潭一,2315201460,24.95305,121.5428729
,10,新店國小,2315203100,24.95347,121.5405279
,11,文山國中,2315200800,24.955388,121.539103
,12,碧潭,2315203300,24.956689,121.538524
,13,捷運新店站(北新路),2314700800,24.958891,121.538126
,14,碧潭橋頭,2314701600,24.963158,121.53982
,15,檳榔路,2314702000,24.965001,121.5405875
,16,捷運新店區公所站(北新),2314700900,24.967638,121.5416161
,17,七張(北新路),2314300000,24.971513,121.542921
,18,捷運七張站,2314301100,24.9753,121.5430453
,19,新店郵局,2314301700,24.978161,121.542795
,20,大坪林,2314300100,24.981232,121.5418387
,21,捷運大坪林站,2314301200,24.983344,121.5413983
,22,滬江中學,1167400300,24.99113,121.54025
,23,捷運景美站,1167000200,24.992366,121.5407616
,24,財政園區,1167000000,24.995452,121.5413365
,25,萬隆,1167000400,24.999316,121.5402001
,26,捷運萬隆站,1167000300,25.001386,121.5392576
,27,武功國小(羅斯福),1168100100,25.003273,121.5387822
,28,師大分部,1168100200,25.006894,121.53901
,29,公館,1067300020,25.012096,121.5385308
,30,臺灣科技大學,1060700020,25.013453,121.5401488
,31,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
,32,基隆長興街口,1067200320,25.017425,121.5448494
,33,和平高中,1105200100,25.01963,121.54746
,34,捷運六張犁站(基隆路),1067500200,25.023636,121.5519069
,35,喬治商職,1105400100,25.02628,121.5549231
,36,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017
,37,吳興街口,1105200000,25.031596,121.5588464
,38,世貿中心(基隆路),1105100100,25.033677,121.5601565
,39,市政府(松壽),1105100320,25.035836,121.5648932
,40,市政府(松智),1105100200,25.03685,121.5655763
,41,捷運市政府站,1107100121,25.041009,121.5668354
,1,消防局(松仁),1107300441,25.038604,121.568284
,2,興雅國中,1107300740,25.037232,121.5682685
,3,信義松仁路口(松仁),1105800440,25.034535,121.568236
,4,信義松仁路口(信義),1104700460,25.032949,121.5666876
,5,101國際購物中心,1104700100,25.034635,121.565536
,6,市政府(松壽),1105100360,25.035907,121.5646562
,7,世貿中心(基隆路),1105100140,25.033772,121.5597982
,8,吳興街口,1105200040,25.031594,121.5586001
,9,三興國小(臨江街觀光夜市),1067700140,25.028215,121.556522
,10,喬治商職,1067500340,25.02633,121.5546403
,11,捷運六張犁站(基隆路),1067500240,25.023428,121.551345
,12,和平高中,1105200140,25.02024,121.54763
,13,基隆長興街口,1067200460,25.018512,121.5456371
,14,臺大癌醫(基隆路),1067200760,25.015713,121.5422472
,15,臺灣科技大學,1060700060,25.014151,121.540464
,16,公館,1067300060,25.012108,121.5380694
,17,師大分部,1167700040,25.008437,121.537808
,18,武功國小(羅斯福),1167600140,25.003411,121.5384705
,19,捷運萬隆站,1167800040,25.001862,121.5387951
,20,萬隆,1167000440,24.999395,121.5398039
,21,財政園區,1167400040,24.995846,121.54099
,22,捷運景美站,1167400140,24.993448,121.5407986
,23,滬江中學,1167400340,24.99098,121.53977
,24,捷運大坪林站,2314301240,24.983352,121.5411399
,25,大坪林,2314300140,24.980858,121.541691
,26,新店郵局,2314301740,24.978011,121.542478
,27,捷運七張站,2314301141,24.974123,121.54279
,28,七張(北新路),2314300040,24.97141,121.5426501
,29,捷運新店區公所站(北新),2314700940,24.967768,121.541385
,30,檳榔路,2314702040,24.965168,121.5404224
,31,碧潭橋頭,2314701640,24.962441,121.539199
,32,捷運新店站(北新路),2314700840,24.958291,121.537957
,33,碧潭,2314701540,24.95681,121.5381708
,34,文山國中,2315200840,24.9555,121.538684
,35,新店國小,2315203140,24.953258,121.5403861
,36,青潭一,2315201420,24.95284,121.54278
,37,南青宮,2315202320,24.95269,121.54561
,38,青潭(北宜路),2315201540,24.951596,121.548014
,39,土銀訓練中心,2315200000,24.952163,121.550225
,40,青潭新村,2315202100,24.953102,121.551962
,41,青潭國小,2315201820,24.953234,121.553091
,42,青潭國小一,2315201920,24.953485,121.554812
,43,郵政橋,2315202920,24.953877,121.557725
,44,青潭廠,2315202220,24.95425,121.55919
,45,大崎腳,2315200440,24.954144,121.5611064
,46,中生橋頭,2315200620,24.953406,121.56393
